"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL"
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,1,2.37,1.93,2.37,1.93
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,2,2.37,1.99,2.37,2.33
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,3,2.37,1.98,2.37,1.93
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,4,2.37,1.93,2.37,1.81
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,5,2.37,2.14,2.37,2.93
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,6,2.37,2.22,2.37,2.70
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,7,2.37,2.29,2.37,2.79
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,8,2.37,2.33,2.37,2.70
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,9,2.37,2.36,2.37,2.43
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2008,10,2.37,2.36,2.37,2.48
